,returns,lengths,speeds,action_probs,actor_loss,critic_loss
0,81.78361147564782,105.82882882882883,18.204223792743825,[0.         0.         0.         0.03320312 0.96679688],-0.04367834,0.20590639
1,44.14854368199202,79.31449631449631,14.772451642983038,[0.13769531 0.01757812 0.         0.12011719 0.72460938],-0.050205536,0.20243984
2,74.9722840191591,101.63799283154121,16.887783669309723,[0.         0.         0.         0.01367188 0.98632812],-0.020475019,0.20200995
3,31.546504809320822,70.23974082073434,10.779852232768617,[0.58203125 0.16308594 0.25488281 0.         0.        ],-0.12776697,0.20034519
4,27.29383997341614,68.00828157349896,9.231746607379932,[0.70800781 0.         0.28515625 0.00683594 0.        ],-0.04091086,0.18616763
5,37.95721279510264,72.88018433179724,12.045225612718413,[0.51171875 0.32519531 0.16308594 0.         0.        ],-0.09059303,0.19088149
6,55.24003090066167,82.96478873239437,17.55065775660881,[0.32128906 0.46875    0.20019531 0.         0.00976562],-0.06919507,0.19537905
7,47.36592661881159,78.02625,15.394233833091965,[0.25292969 0.61328125 0.11523438 0.         0.01855469],-0.063013196,0.19454855
8,53.71550877574151,82.32850940665702,17.343448039538334,[0.17382812 0.37695312 0.18652344 0.26269531 0.        ],-0.05957585,0.19461004
9,58.44865538200101,86.06766917293233,18.874965927653584,[0.05957031 0.171875   0.31835938 0.35644531 0.09375   ],-0.041152593,0.20620728
10,59.179953342203326,85.68944099378882,18.85879392081792,[0.05664062 0.54296875 0.11621094 0.27929688 0.00488281],-0.025533857,0.19743103
11,58.073903567093616,84.68489208633093,18.438920181025736,[0.07910156 0.60546875 0.31542969 0.         0.        ],-0.039187707,0.17928867
12,56.835204811288285,83.5225988700565,17.9597369011819,[0.23535156 0.5546875  0.20996094 0.         0.        ],-0.071580335,0.19829132
13,61.207165376598475,86.32863849765258,19.13654885497543,[0.0859375  0.58105469 0.2421875  0.07910156 0.01171875],-0.07223406,0.20283839
14,50.45195391355192,79.92727272727272,16.311081894039063,[0.16113281 0.65332031 0.18554688 0.         0.        ],-0.07454358,0.18523213
15,58.804137218086346,84.62424242424242,18.327473204052627,[0.17773438 0.57128906 0.15722656 0.09375    0.        ],-0.07796604,0.20565927
16,57.682396979148464,84.3938953488372,18.219829449147714,[0.23632812 0.43164062 0.31835938 0.01367188 0.        ],-0.0958776,0.19670188
17,55.543997845453596,83.49497847919656,17.79007602161693,[0.17773438 0.47460938 0.14453125 0.203125   0.        ],-0.08203143,0.21224901
18,57.47361817137368,85.20735294117647,18.60562389913129,[0.1484375  0.58984375 0.14550781 0.04589844 0.0703125 ],-0.13934581,0.20421678
