,returns,lengths,speeds,action_probs,loss
0,25.796875000000014,31.625,19.26110247402565,[0.87351779 0.         0.         0.12648221 0.        ],0.69068325
1,28.354166666666686,34.125,19.54893884080268,[0.89377289 0.         0.         0.10622711 0.        ],0.69068325
2,38.22916666666667,46.25,20.214388635110552,[0.95135135 0.         0.         0.04864865 0.        ],0.69068325
3,34.4375,42.0,19.877413706954908,[0.96428571 0.         0.         0.03571429 0.        ],0.69068325
4,28.666666666666657,37.0,18.17182982221707,[1. 0. 0. 0. 0.],0.69068325
5,36.593749999999986,46.75,18.552022336787502,[1. 0. 0. 0. 0.],0.69068325
6,42.4427083333333,53.875,18.905977521025214,[1. 0. 0. 0. 0.],0.69068325
7,41.145833333333314,52.5,18.77698078775692,[1. 0. 0. 0. 0.],0.69068325
8,17.97395833333333,23.625,17.25827419593773,[1. 0. 0. 0. 0.],0.69068325
9,40.05729166666666,51.125,18.948541005744854,[1. 0. 0. 0. 0.],0.69068325
10,41.74999999999997,53.0,18.708437268556573,[1. 0. 0. 0. 0.],0.69068325
11,39.270833333333314,50.0,18.793476100426467,[1. 0. 0. 0. 0.],0.69068325
12,42.1458333333333,53.5,18.868283664911786,[1. 0. 0. 0. 0.],0.69068325
13,35.00520833333332,44.875,18.64259609468173,[1. 0. 0. 0. 0.],0.69068325
14,33.124999999999986,42.5,18.481919352604194,[1. 0. 0. 0. 0.],0.69068325
15,34.71874999999998,44.25,18.024887850839683,[1. 0. 0. 0. 0.],0.69068325
16,34.41666666666665,44.0,18.39140885592095,[1. 0. 0. 0. 0.],0.69068325
17,38.77604166666664,49.375,18.769974879128018,[1. 0. 0. 0. 0.],0.69068325
18,34.411458333333314,44.125,18.49945382038054,[1. 0. 0. 0. 0.],0.69068325
19,30.65624999999998,39.25,17.89338852865181,[1. 0. 0. 0. 0.],0.69068325
20,36.890624999999986,47.125,18.61955545911424,[1. 0. 0. 0. 0.],0.69068325
21,36.395833333333314,46.5,18.497129382377032,[1. 0. 0. 0. 0.],0.69068325
22,44.02604166666664,55.875,19.036756247371848,[1. 0. 0. 0. 0.],0.69068325
23,26.1875,34.0,18.241796786292422,[1. 0. 0. 0. 0.],0.69068325
24,34.317708333333314,43.875,18.37333113519884,[1. 0. 0. 0. 0.],0.69068325
25,40.36458333333331,51.25,18.519803647157477,[1. 0. 0. 0. 0.],0.69068325
26,36.296874999999986,46.375,18.75467222773443,[1. 0. 0. 0. 0.],0.69068325
27,43.03124999999998,54.75,19.044178286397496,[1. 0. 0. 0. 0.],0.69068325
28,35.60937499999998,45.375,18.232717174802012,[1. 0. 0. 0. 0.],0.69068325
29,31.73958333333332,40.75,18.527043615637055,[1. 0. 0. 0. 0.],0.69068325
30,34.51041666666666,44.25,18.47255803375161,[1. 0. 0. 0. 0.],0.69068325
31,45.21874999999997,57.25,18.79127335402374,[1. 0. 0. 0. 0.],0.69068325
32,31.348958333333314,40.125,18.042996725420092,[1. 0. 0. 0. 0.],0.69068325
33,32.03645833333332,41.125,18.344928715677764,[1. 0. 0. 0. 0.],0.69068325
34,33.72395833333332,43.125,18.165277345418744,[1. 0. 0. 0. 0.],0.69068325
35,41.052083333333314,52.25,18.920411035053156,[1. 0. 0. 0. 0.],0.69068325
