,returns,lengths,speeds,action_probs,loss
0,67.18097254931277,86.875,24.40122294410551,[0.91079137 0.         0.05755396 0.         0.03165468],10.703879
1,77.36320447291006,98.625,24.216929472460947,[0.67680608 0.         0.26742712 0.         0.05576679],10.703879
2,70.63389632626169,92.75,23.780490209528118,[0.66981132 0.         0.12668464 0.         0.20350404],10.703879
3,54.197618201413704,73.375,22.612443138638923,[0.18739353 0.01022147 0.44633731 0.         0.3560477 ],10.703879
4,73.34578521089006,96.375,22.809060915531923,[0.14656291 0.11802853 0.50453956 0.04150454 0.18936446],10.703879
5,85.83192108684153,109.875,23.465636998392004,[0.12286689 0.17861206 0.11604096 0.06143345 0.52104664],10.703879
6,79.40758870855629,96.5,25.09558737069101,[0.09455959 0.34067358 0.24611399 0.17098446 0.14766839],10.703879
7,72.53957019613068,89.25,25.369386228990187,[0.04061625 0.18487395 0.01120448 0.26610644 0.49719888],10.703879
8,71.215416146382,84.125,26.21699139948049,[0.02674591 0.27488856 0.12332838 0.29569094 0.27934621],10.703879
9,71.24716726310496,83.0,26.91153729191108,[0.02259036 0.21837349 0.15210843 0.36596386 0.24096386],10.703879
10,59.9284809330663,65.125,28.487823517074027,[0.04606526 0.2571977  0.13051823 0.56429942 0.00191939],10.703879
11,59.317445987546435,69.375,26.590466643129524,[0.00720721 0.03783784 0.23423423 0.50630631 0.21441441],10.703879
12,62.4548230195781,66.5,29.003649246751277,[0.01315789 0.10526316 0.14097744 0.73308271 0.0075188 ],10.703879
13,58.10191950030804,71.25,26.39701600205305,[0.         0.00175439 0.0122807  0.42982456 0.55614035],10.703879
14,61.69157822450276,70.125,27.327904698770155,[0.04991087 0.00713012 0.2459893  0.49554367 0.20142602],10.703879
15,57.77353567222757,66.5,26.88484710024264,[0.06390977 0.18609023 0.04135338 0.5093985  0.19924812],10.703879
16,65.8968603756096,77.625,27.135226541757824,[0.01288245 0.24959742 0.07407407 0.32689211 0.33655395],10.703879
17,75.8520447992035,86.75,26.757687984590326,[0.01008646 0.16138329 0.39769452 0.34149856 0.08933718],10.703879
18,71.21143153787733,87.5,24.561249050792483,[0.04857143 0.08428571 0.36285714 0.14571429 0.35857143],10.703879
19,67.7630971861839,82.125,25.27716269508238,[0.02130898 0.02739726 0.28614916 0.23896499 0.4261796 ],10.703879
