,returns,lengths,speeds,action_probs,loss
0,6.170138888888888,7.125,29.68359375,[1. 0. 0. 0. 0.],1.513243
1,9.59375,10.875,29.86607142857143,[0.94252874 0.         0.05747126 0.         0.        ],1.513243
2,8.454861111111112,9.625,29.82421875,[0.96103896 0.         0.03896104 0.         0.        ],1.513243
3,7.180555555555555,8.25,29.78515625,[1. 0. 0. 0. 0.],1.513243
4,8.798611111111112,10.0,29.73046875,[1. 0. 0. 0. 0.],1.513243
5,6.0555555555555545,7.0,29.765625,[1. 0. 0. 0. 0.],1.513243
6,6.055555555555555,7.0,29.765625,[0.91071429 0.         0.08928571 0.         0.        ],1.513243
7,6.277777777777777,7.25,29.66796875,[0.93103448 0.         0.06896552 0.         0.        ],1.513243
8,7.208333333333333,8.25,29.689002403846153,[1. 0. 0. 0. 0.],1.513243
9,5.152777777777777,6.0,29.653846153846153,[0.89583333 0.         0.10416667 0.         0.        ],1.513243
10,60.61149414556276,67.875,25.49919313407018,[0.1160221  0.22651934 0.13259669 0.         0.52486188],1.513243
11,42.53605863986375,48.875,26.903204978129356,[0.0741688  0.40153453 0.10741688 0.         0.4168798 ],1.513243
12,31.421728531775823,37.75,27.913299280403102,[0.06953642 0.38410596 0.04966887 0.         0.49668874],1.513243
13,63.68603746955559,70.0,25.986406900756442,[0.00714286 0.58214286 0.1        0.         0.31071429],1.513243
14,72.72124017628641,82.125,25.62066661537174,[0.00761035 0.33789954 0.14764079 0.04718417 0.45966514],1.513243
15,59.46277634058602,66.625,26.740154033366586,[0.00938086 0.38461538 0.18761726 0.03377111 0.38461538],1.513243
16,66.98738953766687,73.875,25.008486108206704,[0.03891709 0.09475465 0.17935702 0.09137056 0.59560068],1.513243
17,50.594616047621855,55.375,27.73621368089589,[0.05643341 0.0993228  0.30925508 0.16930023 0.36568849],1.513243
18,74.44769668322797,81.75,26.909952606936045,[0.09785933 0.05351682 0.25076453 0.25688073 0.34097859],1.513243
19,78.7214627737886,85.875,26.205097062299174,[0.05094614 0.32605531 0.2852984  0.16885007 0.16885007],1.513243
20,51.55025517027798,55.0,27.369074994542046,[0.00681818 0.03181818 0.375      0.25       0.33636364],1.513243
21,41.50237532438901,44.125,28.203604732388825,[0.00566572 0.04815864 0.44759207 0.2266289  0.27195467],1.513243
22,49.99312178633049,53.625,28.573317407777495,[0.10955711 0.004662   0.29137529 0.42890443 0.16550117],1.513243
23,58.96692183694465,61.5,29.045435482379972,[0.09349593 0.04471545 0.26422764 0.50609756 0.09146341],1.513243
24,52.876278426555785,55.75,27.79143308228924,[0.07174888 0.         0.07399103 0.62331839 0.2309417 ],1.513243
25,43.42209613739912,46.75,28.283577521063584,[0.06417112 0.         0.28877005 0.42780749 0.21925134],1.513243
26,38.97496317922229,40.75,29.49016399824999,[0.10122699 0.00306748 0.37423313 0.44171779 0.0797546 ],1.513243
27,46.130348929289084,47.625,29.377902290997937,[0.         0.03937008 0.18635171 0.70341207 0.07086614],1.513243
28,61.60674645574424,65.0,29.023387645979817,[0.15384615 0.00576923 0.15961538 0.59615385 0.08461538],1.513243
29,35.32876421327791,37.0,29.15388073035775,[0.         0.03378378 0.36486486 0.45608108 0.14527027],1.513243
30,42.030153102166786,43.75,29.34243223907262,[0.04571429 0.02       0.29714286 0.55428571 0.08285714],1.513243
31,42.64973741894157,45.5,28.868864006421184,[0.07967033 0.02197802 0.19505495 0.56318681 0.14010989],1.513243
32,55.24803885223355,57.75,29.062124308769743,[0.11471861 0.02164502 0.18831169 0.57792208 0.0974026 ],1.513243
