,returns,lengths,speeds,action_probs,actor_loss,critic_loss
0,80.07734353851293,91.0,26.300544194176,[0.00274725 0.         0.94093407 0.05631868 0.        ],-0.11788417,0.13740046
1,82.45704857569831,86.5,28.80881588341117,[0.         0.         0.64306358 0.35693642 0.        ],-0.10770429,0.1428222
2,59.73196475515704,66.125,26.430682604409427,[0.         0.05293006 0.88846881 0.05860113 0.        ],-0.09127323,0.09511952
3,76.41330237562829,81.25,27.96900202925629,[0.00769231 0.30461538 0.52153846 0.16615385 0.        ],-0.09172006,0.11239574
4,40.94404707248729,44.125,27.98249056817894,[0.04815864 0.04532578 0.81303116 0.09348442 0.        ],-0.09270879,0.11175225
5,73.822935993805,82.125,27.239702995553664,[0.00761035 0.14916286 0.79299848 0.05022831 0.        ],-0.08837667,0.115420446
6,71.93688521209606,77.5,27.60577835470341,[0.         0.30806452 0.60645161 0.08548387 0.        ],-0.10599354,0.13982375
7,53.001885626018996,57.75,28.359482262428543,[0.         0.17099567 0.68831169 0.14069264 0.        ],-0.09286667,0.13784382
8,48.35297073986473,52.25,28.07437749525593,[0.         0.40430622 0.48325359 0.11244019 0.        ],-0.099236436,0.15499654
9,39.222935500102416,45.25,27.70573138086995,[0.         0.20718232 0.56077348 0.19337017 0.03867403],-0.08125978,0.121926695
10,52.909527397382774,56.25,28.357120477351906,[0.         0.14888889 0.68888889 0.16222222 0.        ],-0.10653142,0.14247958
11,51.87267046040444,55.625,28.638892726498433,[0.         0.27191011 0.54831461 0.17977528 0.        ],-0.10064154,0.15689985
12,74.29801086824168,79.125,28.052039880982015,[0.         0.08056872 0.83412322 0.08530806 0.        ],-0.0915755,0.11423971
13,60.65044476909773,65.375,28.400406464048967,[0.         0.3040153  0.58891013 0.10707457 0.        ],-0.08886367,0.14742143
14,46.00991661271658,47.875,29.285998550439132,[0.         0.07310705 0.66840731 0.25848564 0.        ],-0.10115725,0.19482502
15,68.77267097727263,72.375,28.276762117033034,[0.         0.21588946 0.65630397 0.12780656 0.        ],-0.09410533,0.14143816
16,55.93060825255251,58.75,28.98883125901423,[0.         0.08085106 0.70425532 0.21489362 0.        ],-0.09656043,0.14311115
17,56.50404945532543,59.375,28.356848965778923,[0.         0.24421053 0.65894737 0.09684211 0.        ],-0.08261053,0.115281135
18,68.1971100907864,73.125,27.898639442906912,[0.         0.17435897 0.6957265  0.12991453 0.        ],-0.10156069,0.17371443
19,63.91816732044779,67.375,28.51500631921467,[0.         0.08534323 0.82189239 0.09276438 0.        ],-0.08282821,0.13475704
20,38.49445924692144,40.25,29.111702849273776,[0.         0.         0.69254658 0.30745342 0.        ],-0.08622686,0.13749298
21,54.5911168166724,56.25,29.149349940986504,[0.         0.08444444 0.73333333 0.18222222 0.        ],-0.08461928,0.16110963
22,36.72380751985526,38.5,29.178756992067324,[0.         0.04545455 0.55519481 0.39935065 0.        ],-0.09554324,0.23860887
23,54.354163728412125,58.0,28.312700981466463,[0.         0.07327586 0.74784483 0.17887931 0.        ],-0.086236335,0.15721792
24,60.33124228227086,62.0,29.059095095077446,[0.         0.09879032 0.72177419 0.17943548 0.        ],-0.07135258,0.13664524
25,52.108790340447854,53.5,29.184695107123133,[0.00700935 0.02102804 0.75700935 0.21495327 0.        ],-0.067291945,0.102255195
26,60.87537966046121,64.875,28.58758352895543,[0.01926782 0.14643545 0.60693642 0.22736031 0.        ],-0.0829232,0.14870867
27,66.61933391052742,68.375,29.405409815977645,[0.00731261 0.14259598 0.62888483 0.22120658 0.        ],-0.08897528,0.19859412
28,27.114636077588727,28.625,28.85151312301252,[0.         0.06550218 0.60262009 0.33187773 0.        ],-0.070039615,0.1227404
29,58.02118825338911,61.5,28.640660688857658,[0.0101626  0.04878049 0.66463415 0.27642276 0.        ],-0.069238335,0.14229381
30,61.01530264053264,62.5,29.385421908461787,[0.006 0.008 0.732 0.254 0.   ],-0.07545388,0.14173743
31,64.13882495348066,65.5,29.387556006805326,[0.0019084  0.         0.79389313 0.20419847 0.        ],-0.07130249,0.16526079
32,46.94243147915291,48.625,28.896798472252435,[0.01542416 0.0874036  0.61696658 0.28020566 0.        ],-0.06691115,0.11611194
33,44.71293698257128,48.5,28.521620020222322,[0.02319588 0.09793814 0.65463918 0.2242268  0.        ],-0.06645137,0.12352373
34,40.79075756705153,42.5,29.107076393617252,[0.00882353 0.01470588 0.70882353 0.26764706 0.        ],-0.060810104,0.102230154
35,64.24709397512694,66.125,29.169671908010532,[0.01512287 0.11342155 0.63516068 0.2362949  0.        ],-0.07656768,0.16959791
36,42.10110859640844,43.875,29.068313442729085,[0.01424501 0.06552707 0.63247863 0.28774929 0.        ],-0.06606008,0.13122845
37,59.41902931526762,61.75,29.11517379661791,[0.00404858 0.04048583 0.64979757 0.30566802 0.        ],-0.087649934,0.1842435
38,44.58797169523785,46.5,29.207603937398357,[0.0188172  0.08602151 0.56182796 0.33333333 0.        ],-0.061034296,0.090232804
39,64.7116133157329,67.625,28.640448219885712,[0.03142329 0.10351201 0.59889094 0.26617375 0.        ],-0.07533173,0.18380749
40,59.797812512834355,61.875,29.218354629796742,[0.02626263 0.0969697  0.54949495 0.32727273 0.        ],-0.079348266,0.15342355
41,43.32604831995109,46.0,28.767542683626992,[0.0298913  0.01902174 0.55706522 0.39402174 0.        ],-0.094010614,0.20330104
42,49.60808278198679,52.625,28.687956217636874,[0.01662708 0.06413302 0.58907363 0.33016627 0.        ],-0.06566712,0.12718366
43,57.92239545055506,61.75,28.32575578819969,[0.01417004 0.06275304 0.77935223 0.1437247  0.        ],-0.055861242,0.10721978
44,46.0639252137164,47.75,29.249300986504387,[0.03403141 0.05759162 0.59947644 0.30890052 0.        ],-0.071315855,0.17516924
45,64.56239930603309,66.375,29.37967762745719,[0.03389831 0.07344633 0.52730697 0.3653484  0.        ],-0.08715256,0.20242402
46,45.665034675793,49.25,28.36504214471302,[0.03299492 0.10152284 0.57614213 0.2893401  0.        ],-0.066393554,0.10927287
47,46.308755629629744,48.5,29.01429248924586,[0.04123711 0.06185567 0.53865979 0.35824742 0.        ],-0.06888999,0.1324363
48,64.94504995906061,68.875,28.75380241402125,[0.02540835 0.15607985 0.61343013 0.20508167 0.        ],-0.05798594,0.10574538
49,76.43650705201199,79.0,29.16933307993216,[0.04746835 0.08544304 0.62183544 0.24525316 0.        ],-0.054423574,0.12504172
50,53.042158066209666,55.875,28.694412394382393,[0.02908277 0.05369128 0.64205817 0.27516779 0.        ],-0.052848518,0.11023708
51,30.979760055094136,32.875,28.843941821952892,[0.02661597 0.01901141 0.5513308  0.40304183 0.        ],-0.06636577,0.15266204
52,62.53936661767608,64.375,29.501919471828394,[0.03106796 0.06019417 0.65436893 0.25436893 0.        ],-0.07295163,0.21076751
53,31.63876869788934,33.5,28.953857677798023,[0.04850746 0.00373134 0.56716418 0.38059701 0.        ],-0.040288467,0.12150662
54,62.13088757153056,63.875,29.202389206739667,[0.02935421 0.02348337 0.65362035 0.29354207 0.        ],-0.04503449,0.18632886
55,44.287955007601035,47.5,28.167405572151026,[0.02105263 0.02894737 0.73947368 0.21052632 0.        ],-0.047211178,0.14968508
56,50.752983172590625,52.875,29.18523306193353,[0.09456265 0.04728132 0.53664303 0.321513   0.        ],-0.047674343,0.17796433
57,57.547061760088575,60.125,28.911807800533165,[0.02910603 0.06652807 0.62785863 0.27650728 0.        ],-0.057677537,0.18538317
58,29.4910593834196,31.25,29.008387787402896,[0.048 0.044 0.48  0.428 0.   ],-0.044160575,0.07460755
59,56.19190582148257,58.25,29.19917619871049,[0.06652361 0.07725322 0.60300429 0.25321888 0.        ],-0.039990872,0.073325366
60,63.02836310899082,64.625,29.52107688235334,[0.06189555 0.0754352  0.62088975 0.2417795  0.        ],-0.05394626,0.15072219
61,52.36631359950225,54.625,28.997066891524167,[0.14416476 0.02059497 0.59954233 0.23569794 0.        ],-0.048514143,0.09782461
62,57.51771341857825,61.25,28.557664316418425,[0.15918367 0.14693878 0.45918367 0.23469388 0.        ],-0.042777814,0.10438818
63,51.14145365087664,54.125,28.86244902489313,[0.08775982 0.08775982 0.55889145 0.26558891 0.        ],-0.04589648,0.09434063
64,89.72212708845827,92.625,29.228885654992318,[0.06747638 0.0782726  0.64642375 0.20782726 0.        ],-0.06368327,0.19035745
65,79.15923298353628,83.25,28.902892173634424,[0.04654655 0.20720721 0.57507508 0.17117117 0.        ],-0.055262286,0.153866
66,64.6585391463121,67.75,28.495049746611315,[0.07933579 0.0701107  0.65313653 0.19741697 0.        ],-0.054826282,0.15439492
67,32.1265311120594,33.875,29.101362411625775,[0.03690037 0.         0.57933579 0.38376384 0.        ],-0.05295068,0.16749562
68,73.08985100517548,76.0,29.15524072684765,[0.05427632 0.16776316 0.58717105 0.19078947 0.        ],-0.052725773,0.18992102
69,44.54395723943084,46.25,29.2553919744788,[0.04864865 0.05405405 0.63513514 0.26216216 0.        ],-0.06383058,0.23490193
70,49.039275084652786,51.75,28.714239187203425,[0.0821256  0.02657005 0.54830918 0.34299517 0.        ],-0.061334394,0.19918692
71,58.96945474799324,61.5,29.404032678495454,[0.09552846 0.02439024 0.61585366 0.26422764 0.        ],-0.056915894,0.1629043
72,51.715012987238445,54.125,28.809210671954766,[0.03926097 0.15704388 0.51963048 0.28406467 0.        ],-0.0537856,0.16980547
73,57.545473582614235,59.375,29.19099471996096,[0.07578947 0.03368421 0.57052632 0.32       0.        ],-0.05034434,0.16700454
74,69.13442441287503,71.5,29.404535364580042,[0.09090909 0.04195804 0.62062937 0.2465035  0.        ],-0.053000946,0.17313004
