,returns,lengths,speeds,action_probs,actor_loss,critic_loss
0,42.281988402307235,43.375,29.986729964114833,[0.         0.00864553 0.17579251 0.81556196 0.        ],-0.07467997,0.038898505
1,34.37079651255564,35.25,29.972510675465838,[0.         0.22340426 0.19503546 0.58156028 0.        ],-0.106651664,0.10541451
2,36.33607429033342,37.25,29.986642762158056,[0.         0.11409396 0.21812081 0.66778523 0.        ],-0.10066971,0.096333146
3,37.91950818818248,39.125,29.976559085445803,[0.         0.09904153 0.37380192 0.52715655 0.        ],-0.09945987,0.0940348
4,44.99159302511128,46.875,29.3614186875235,[0.         0.06666667 0.42666667 0.496      0.01066667],-0.10068935,0.12134291
5,44.88473014659757,47.5,29.108004566503382,[0.         0.         0.55526316 0.43947368 0.00526316],-0.090591095,0.1042244
6,38.752436500013886,40.25,29.725335183061496,[0.         0.01863354 0.47826087 0.49689441 0.00621118],-0.107441515,0.10923521
7,44.36952888063368,46.875,29.093659672966005,[0.         0.         0.48533333 0.48       0.03466667],-0.09891309,0.14882714
8,46.4050156374479,49.125,29.002745096610802,[0.        0.        0.5216285 0.4351145 0.043257 ],-0.1039204,0.16285366
9,27.392361111111107,28.125,29.965723111751416,[0.         0.         0.22666667 0.77333333 0.        ],-0.09603492,0.21194467
10,34.35416666666666,35.375,29.97843368611747,[0.         0.         0.47349823 0.52650177 0.        ],-0.05630548,0.08189543
11,32.29523945340462,33.25,29.95981152815527,[0.         0.         0.29699248 0.69548872 0.0075188 ],-0.056673333,0.11963078
12,43.27514787634634,45.0,29.62814348276432,[0.         0.         0.44166667 0.53888889 0.01944444],-0.06877416,0.1591965
13,44.224963179222314,46.375,29.075822433696864,[0.         0.         0.39622642 0.52291105 0.08086253],-0.059038326,0.12157112
14,53.52157508960841,56.5,28.736425704161363,[0.         0.         0.48230088 0.45132743 0.06637168],-0.057183802,0.12693319
15,47.64089858066682,49.375,29.432758139016073,[0.00506329 0.00506329 0.34683544 0.61518987 0.0278481 ],-0.073327035,0.1572525
16,44.7492687347779,47.875,28.527602103686036,[0.00261097 0.         0.48302872 0.45430809 0.06005222],-0.07907496,0.13455403
17,41.55816270538546,43.25,29.250885362373907,[0.00867052 0.         0.25144509 0.69653179 0.0433526 ],-0.090887606,0.15811028
18,44.4491272642513,46.0,29.69948806267498,[0.00815217 0.         0.48369565 0.50543478 0.00271739],-0.069870226,0.12877713
19,42.28588197473538,45.0,29.086022139575704,[0.14166667 0.         0.35       0.47222222 0.03611111],-0.08454929,0.11267887
20,51.028751663074615,53.125,29.633576830944506,[0.01176471 0.02117647 0.49647059 0.46352941 0.00705882],-0.08124745,0.14188582
21,51.66910316668053,55.875,28.267887537829232,[0.03803132 0.20581655 0.31543624 0.40268456 0.03803132],-0.08736703,0.12327474
22,49.93329651255571,53.875,28.131713173499243,[0.07192575 0.         0.47795824 0.41531323 0.03480278],-0.07531857,0.10118459
23,54.12927545770313,58.375,27.963529922639204,[0.07066381 0.         0.43683084 0.40256959 0.08993576],-0.090545535,0.13158396
24,43.66292937634914,46.375,28.937548595254633,[0.05390836 0.         0.4097035  0.47978437 0.05660377],-0.09334463,0.13208169
25,33.894200068800274,35.0,29.87501267953922,[0.00357143 0.         0.325      0.62857143 0.04285714],-0.08350313,0.10403299
26,61.49800233182698,67.125,27.21223009916805,[0.10242086 0.         0.53445065 0.30353818 0.05959032],-0.08440986,0.1425925
27,54.82181976883355,60.0,27.290178434654315,[0.10208333 0.         0.47291667 0.375      0.05      ],-0.08014099,0.098919995
28,45.5721854014445,48.25,28.63050394824586,[0.03108808 0.         0.35492228 0.4119171  0.20207254],-0.09557524,0.18168429
29,34.281350564515726,35.375,29.788944499111903,[0.01060071 0.         0.25441696 0.67491166 0.06007067],-0.08162081,0.14627513
30,49.88468540144457,53.625,28.071320758931968,[0.07692308 0.         0.36829837 0.43822844 0.11655012],-0.08544206,0.14828426
31,55.318043089625064,59.625,27.628443435432743,[0.06289308 0.         0.37735849 0.35639413 0.2033543 ],-0.07699032,0.11174254
32,64.32308008586229,69.125,27.812237663112118,[0.05244123 0.12115732 0.27486438 0.35985533 0.19168174],-0.08151904,0.15281713
33,63.24159302511119,67.875,27.19819922783518,[0.01473297 0.03130755 0.25046041 0.31123389 0.39226519],-0.09328641,0.1855259
34,37.16252435484718,38.375,29.92303232647905,[0.00325733 0.         0.44299674 0.52442997 0.02931596],-0.061693303,0.07649851
35,34.038295008960176,35.125,29.93969737663769,[0.         0.01423488 0.38078292 0.58007117 0.02491103],-0.05543412,0.08857498
36,44.1990243591337,46.875,28.892313516958147,[0.04266667 0.02666667 0.24       0.544      0.14666667],-0.047567967,0.09033388
37,49.19334754661126,52.5,28.370674582147963,[0.05714286 0.07380952 0.29285714 0.50714286 0.06904762],-0.0858366,0.15159985
38,59.27594961472245,64.375,27.06807742369679,[0.0776699  0.03495146 0.22718447 0.46796117 0.19223301],-0.0870271,0.19175461
39,55.86426372075456,59.625,28.254354264453706,[0.03144654 0.0230608  0.21174004 0.46540881 0.26834382],-0.09815408,0.19441047
40,66.6888252591267,73.75,26.953042324665738,[0.0559322  0.         0.27457627 0.34067797 0.32881356],-0.08256413,0.14404604
41,65.34228746955571,71.375,26.980044134259764,[0.16112084 0.00175131 0.23992995 0.37127846 0.22591944],-0.09475006,0.18995035
42,67.60220551890029,73.875,26.361157895894216,[0.0964467  0.00846024 0.33333333 0.37563452 0.18612521],-0.09578101,0.2027296
43,82.85349825612448,90.875,25.37528728314873,[0.09215956 0.         0.33149931 0.23796424 0.33837689],-0.07985638,0.21260488
44,44.009396121750925,48.375,28.55204606099699,[0.01550388 0.         0.25581395 0.47803618 0.25064599],-0.071618095,0.20759645
45,68.95997739250028,76.0,26.19571282286487,[0.125      0.         0.37171053 0.29934211 0.20394737],-0.055148885,0.1480062
46,69.23428294805578,76.5,26.24136590387616,[0.1879085  0.         0.24183007 0.35294118 0.21732026],-0.078248024,0.20668998
47,69.63669509322244,75.625,26.47407519854947,[0.05454545 0.00826446 0.24628099 0.35702479 0.3338843 ],-0.05699589,0.12463344
48,64.45170457598896,70.375,26.856211172160762,[0.09413854 0.         0.30728242 0.39964476 0.19893428],-0.06589405,0.1960575
49,64.8645804753734,72.125,26.91971131892089,[0.06585789 0.         0.35008666 0.36568458 0.21837088],-0.07323554,0.18689722
50,69.10416380870677,77.75,25.876151290032535,[0.08842444 0.         0.42122186 0.27491961 0.21543408],-0.04902214,0.09791628
51,45.721125324389035,48.75,28.62839517452305,[0.06153846 0.         0.37179487 0.48205128 0.08461538],-0.072724506,0.2103512
52,73.56348914686228,82.25,26.037337077289543,[0.0881459  0.         0.40273556 0.30851064 0.2006079 ],-0.051686604,0.09569822
53,56.126937882691806,60.875,27.70118092697754,[0.10472279 0.         0.42094456 0.3613963  0.11293634],-0.06146972,0.16874829
54,51.86024603871877,55.5,28.39465556720753,[0.04954955 0.         0.28603604 0.44369369 0.22072072],-0.06748827,0.17979693
55,72.76088215132448,83.0,25.980536612450933,[0.07379518 0.         0.37650602 0.29819277 0.25150602],-0.07560852,0.21144556
56,69.89053294805578,76.875,26.165489683956913,[0.09105691 0.         0.29593496 0.32682927 0.28617886],-0.05726601,0.14264846
57,61.39126421327798,67.375,26.916424333971275,[0.12059369 0.         0.49165121 0.26159555 0.12615955],-0.0575568,0.13063496
58,72.60928294805575,79.75,25.894514580324874,[0.06896552 0.0031348  0.24294671 0.30094044 0.38401254],-0.0602145,0.099546626
59,72.70997739250024,80.0,26.10422164693508,[0.1046875 0.        0.3484375 0.2859375 0.2609375],-0.07814814,0.21344054
60,72.05691033502882,80.5,26.109149790045407,[0.07453416 0.         0.2484472  0.27329193 0.40372671],-0.063530564,0.1438863
61,46.27010206811117,50.25,28.00238555971132,[0.07462687 0.00248756 0.14427861 0.43283582 0.34577114],-0.050236747,0.08902851
62,53.699604358857194,59.375,27.445148206909465,[0.03578947 0.02105263 0.21263158 0.40210526 0.32842105],-0.058903053,0.1304154
63,55.554458657722336,60.125,27.347972515329314,[0.08108108 0.         0.12889813 0.42827443 0.36174636],-0.05844552,0.14673008
64,62.05348174583028,70.75,26.754250874165642,[0.06183746 0.         0.30918728 0.29328622 0.33568905],-0.060049187,0.121877834
65,58.01279199105564,63.75,27.112244755203044,[0.08235294 0.         0.19803922 0.34509804 0.3745098 ],-0.076717615,0.21778497
66,47.672879845888986,51.375,27.985089108324036,[0.08515815 0.01703163 0.16301703 0.46715328 0.2676399 ],-0.05242312,0.11844583
67,60.69334754661122,66.25,26.805563382193366,[0.10566038 0.         0.19433962 0.3245283  0.3754717 ],-0.05469631,0.13251631
68,60.14092423468442,66.75,27.255567697175717,[0.082397   0.         0.29213483 0.31835206 0.3071161 ],-0.068242714,0.1940209
69,34.48921770072225,35.75,29.401174088470672,[0.         0.         0.16783217 0.70629371 0.12587413],-0.04603897,0.06946294
70,60.23910428761752,65.5,27.099483707048005,[0.06870229 0.         0.28435115 0.32633588 0.32061069],-0.05661049,0.12899579
71,54.11978644436487,59.375,27.85961654423044,[0.00210526 0.         0.24       0.41894737 0.33894737],-0.06706984,0.19794795
72,54.03272455404914,58.75,27.31667161142691,[0.1        0.         0.30425532 0.38723404 0.20851064],-0.0551084,0.14465332
73,51.73123753406948,55.375,27.629467193457437,[0.03837472 0.         0.20767494 0.42663657 0.32731377],-0.07716776,0.22242628
74,66.47598086617806,72.625,26.366934254208452,[0.08089501 0.00172117 0.23924269 0.33562823 0.34251291],-0.051579107,0.12869607
75,61.33540420073621,67.0,26.831059570191805,[0.1119403  0.         0.33022388 0.35074627 0.20708955],-0.048412398,0.09601021
76,61.434694467051095,69.375,27.050677744059755,[0.03603604 0.         0.33333333 0.32252252 0.30810811],-0.06398736,0.18263374
77,59.76519296946226,65.875,27.586677740044244,[0.03225806 0.         0.22960152 0.4345351  0.30360531],-0.049577855,0.08841039
78,34.06524095700008,35.5,29.340115553914742,[0.00352113 0.         0.1056338  0.76056338 0.13028169],-0.051010273,0.11362076
79,45.94718540144451,49.25,28.137462323585837,[0.05837563 0.         0.12690355 0.48984772 0.3248731 ],-0.06427422,0.18733925
80,69.36622739250016,75.25,26.412376056276422,[0.05315615 0.         0.11461794 0.3986711  0.43355482],-0.0732066,0.19885714
81,53.24896427779166,57.75,27.494238856158944,[0.07359307 0.         0.26190476 0.36147186 0.3030303 ],-0.056205466,0.13078621
82,33.74391085108251,35.375,28.854805266436472,[0.         0.         0.17667845 0.63250883 0.19081272],-0.0687837,0.16622087
83,65.01937080288903,70.75,26.431574835660605,[0.06537102 0.         0.20318021 0.3180212  0.41342756],-0.062072508,0.1288716
84,49.71454651255563,53.5,27.914226830623257,[0.06074766 0.         0.17757009 0.4182243  0.34345794],-0.049515028,0.12363
85,44.02637839011569,46.5,28.779109231900136,[0.0188172  0.         0.35483871 0.42741935 0.19892473],-0.08457233,0.22512472
86,46.915204136222414,50.5,27.499989893733698,[0.04455446 0.         0.20792079 0.49752475 0.25      ],-0.04934092,0.08227773
87,52.54209853005269,57.75,27.602893550309325,[0.05194805 0.         0.32251082 0.41558442 0.20995671],-0.06569335,0.1539714
88,52.6270096917779,56.375,27.488990152006785,[0.00886918 0.         0.13525499 0.46563193 0.3902439 ],-0.07281474,0.17568491
89,61.83524537815997,68.875,26.678980697494826,[0.05807623 0.         0.36660617 0.27949183 0.29582577],-0.058463067,0.14370763
90,58.47039405916683,62.875,26.806463949624998,[0.02186879 0.         0.09940358 0.49304175 0.38568588],-0.055462494,0.10268743
91,83.24433398211136,92.0,24.58092689944257,[0.09918478 0.         0.21467391 0.27581522 0.41032609],-0.064583056,0.16163251
92,43.77320865772232,46.5,28.257715167122463,[0.01075269 0.         0.09677419 0.55645161 0.33602151],-0.06223359,0.14637707
93,76.16831072583352,84.0,24.686870892139773,[0.0922619  0.         0.17261905 0.25       0.48511905],-0.075154975,0.21840638
94,68.02558398211134,74.75,26.13517790114461,[0.07023411 0.         0.22073579 0.35284281 0.35618729],-0.04868805,0.09601638
95,69.0120607258335,75.0,26.14065522502942,[0.04166667 0.         0.16333333 0.37       0.425     ],-0.061127555,0.17242852
96,69.21950513980977,77.5,25.83103477211246,[0.04677419 0.         0.22580645 0.32903226 0.3983871 ],-0.059313588,0.18887827
97,76.95512463247405,86.375,25.31364580618963,[0.03762663 0.         0.20694645 0.29377713 0.46164978],-0.051309813,0.09651722
98,46.09996317922233,50.125,27.789232622543068,[0.0723192  0.         0.24937656 0.42394015 0.25436409],-0.04498171,0.116881266
99,57.0571996147224,61.875,26.64623263195786,[0.02424242 0.         0.10909091 0.44040404 0.42626263],-0.05584038,0.11239901
100,53.40825969177794,57.875,27.10921885963941,[0.03455724 0.         0.20302376 0.43844492 0.32397408],-0.05288683,0.099231765
101,56.24478160736283,62.375,27.058057945798332,[0.02004008 0.         0.3006012  0.3507014  0.32865731],-0.047828,0.07725676
102,44.04705093371551,48.75,27.809458725543905,[0.01025641 0.         0.22820513 0.47179487 0.28974359],-0.08210182,0.21322307
103,53.352240856660025,59.625,26.879681562367363,[0.03563941 0.         0.25786164 0.38993711 0.31656184],-0.053203724,0.096096836
104,44.96034302511126,47.875,27.412225701890165,[0.         0.         0.07049608 0.54046997 0.38903394],-0.051517095,0.10834229
105,68.85918530110446,77.375,26.13051170363812,[0.04361874 0.         0.27625202 0.34087237 0.33925687],-0.078504086,0.21670023
106,72.09436403791318,80.5,25.20402799824738,[0.05434783 0.         0.21273292 0.3136646  0.41925466],-0.0747665,0.18912277
107,53.98233948705277,59.25,27.27650406135718,[0.03164557 0.         0.3185654  0.4092827  0.24050633],-0.07195516,0.18888831
108,66.78707975892463,75.25,26.30294302289692,[0.01993355 0.         0.25747508 0.34219269 0.38039867],-0.07967144,0.21577124
109,54.68293087994457,59.75,26.806129131486724,[0.08577406 0.         0.26569038 0.36820084 0.28033473],-0.054542482,0.121433154
110,30.600328811833368,31.75,29.434855177221095,[0.00393701 0.         0.10629921 0.78346457 0.10629921],-0.081738845,0.20137545
111,63.98117635844457,70.25,26.49711648024818,[0.0658363  0.         0.18505338 0.34875445 0.40035587],-0.058686517,0.149173
112,62.48621697833914,71.875,26.42313266445532,[0.02956522 0.         0.28695652 0.31304348 0.37043478],-0.0644066,0.18751103
113,69.12317183694465,75.875,25.828551660740935,[0.06425041 0.         0.25041186 0.30971993 0.37561779],-0.07217065,0.17251262
114,44.964180879944536,48.125,28.23959652787859,[0.01818182 0.         0.15064935 0.55844156 0.27272727],-0.082672656,0.22725803
115,60.149963048413994,68.625,26.88130375888492,[0.01639344 0.         0.23132969 0.35519126 0.39708561],-0.06562212,0.17293987
116,48.82529199105567,52.625,27.80106505430018,[0.05938242 0.         0.16152019 0.48456057 0.29453682],-0.04309362,0.090597905
117,55.73104973329286,60.75,27.41914962970734,[0.0473251  0.         0.24897119 0.3909465  0.3127572 ],-0.0606497,0.19656125
118,69.24086175988911,75.75,25.921845497897507,[0.06105611 0.         0.2689769  0.26732673 0.40264026],-0.05959964,0.16407716
119,44.70348057330723,49.625,28.239702497404714,[0.02518892 0.         0.21914358 0.45088161 0.30478589],-0.06722216,0.18857652
120,85.25775959143787,96.5,24.41297970066222,[0.09196891 0.         0.2642487  0.22409326 0.41968912],-0.059000604,0.1493806
121,68.14325825074496,78.125,25.95480169436346,[0.0496 0.     0.2384 0.3248 0.3872],-0.048648916,0.09428059
122,49.11312080288904,53.125,27.9333689484421,[0.07764706 0.         0.18352941 0.49647059 0.24235294],-0.07474002,0.19847722
123,49.82681639553273,59.0,27.531088811177305,[0.02330508 0.         0.27330508 0.41525424 0.28813559],-0.061956797,0.18410861
124,74.93441728497646,84.25,25.299440217689657,[0.0652819  0.         0.21068249 0.29525223 0.42878338],-0.063087255,0.21969666
125,57.97423191400017,63.5,26.9850777010218,[0.12598425 0.         0.1476378  0.43897638 0.28740157],-0.051796414,0.12740082
126,57.21034302511127,61.875,27.32620610832676,[0.06060606 0.         0.14343434 0.4969697  0.2989899 ],-0.061776057,0.17550367
127,66.73775517027796,72.625,26.404091342969004,[0.04819277 0.         0.18932874 0.37005164 0.39242685],-0.067337155,0.19525458
128,65.51131380630049,75.25,26.2518850651766,[0.05647841 0.         0.22923588 0.32392027 0.39036545],-0.057324797,0.15029359
129,77.1204971107195,86.0,24.9556555232623,[0.0625     0.         0.31831395 0.23837209 0.38081395],-0.058656767,0.19169322
130,40.75274095700008,43.375,28.705777142861095,[0.04610951 0.         0.10662824 0.63976945 0.2074928 ],-0.068575636,0.1968592
131,62.83187080288902,69.0,26.53857437642336,[0.06884058 0.         0.17753623 0.35507246 0.39855072],-0.070214495,0.19701782
132,82.28947287100019,91.5,24.67956159541864,[0.08196721 0.         0.19125683 0.22677596 0.5       ],-0.058731876,0.12719083
133,50.48848643550011,54.75,27.821332836430525,[0.06621005 0.         0.14840183 0.46118721 0.32420091],-0.04803503,0.0973588
134,62.570382892406755,69.625,26.591362761577606,[0.03590664 0.         0.2567325  0.38061041 0.32675045],-0.056423023,0.13078734
135,65.31450969177791,71.5,26.32479694626955,[0.06643357 0.         0.17657343 0.33391608 0.42307692],-0.058410283,0.15338534
