,returns,lengths,speeds,action_probs,actor_loss,critic_loss
0,89.69290081615357,95.875,29.750080441519227,[0. 0. 0. 1. 0.],-0.11308515,0.060971804
1,73.6513392031442,76.75,29.645646964543566,[0.         0.         0.15472313 0.84527687 0.        ],-0.063633524,0.07244966
2,70.24785606756454,73.625,29.495094604398606,[0.         0.04923599 0.1188455  0.81833616 0.01358234],-0.07657637,0.08144266
3,85.9780531762899,91.5,28.926827969159273,[0.         0.         0.41939891 0.58060109 0.        ],-0.09729931,0.062620714
4,55.92613896643151,60.375,28.92715060624782,[0.03726708 0.         0.27743271 0.68530021 0.        ],-0.07957011,0.06451992
5,51.73891491961702,54.75,29.28728795118979,[0.00684932 0.         0.17123288 0.80365297 0.01826484],-0.10871862,0.050723914
6,71.8362916041196,78.0,28.925114298539256,[0.01121795 0.         0.08333333 0.7900641  0.11538462],-0.10008599,0.070683084
7,53.46493871994101,57.875,29.373613307928824,[0.01943844 0.         0.0237581  0.93952484 0.01727862],-0.10036585,0.04471507
8,82.67282230449425,90.375,28.858103338420197,[0.00691563 0.         0.13139696 0.81189488 0.04979253],-0.09888056,0.033684578
9,81.75144606930168,88.625,29.091640169012578,[0.00846262 0.         0.         0.93088858 0.0606488 ],-0.073594816,0.08900665
10,68.12307010132895,76.5,28.03808181707241,[0.01797386 0.         0.00816993 0.80065359 0.17320261],-0.090922415,0.052254364
11,72.24928885795389,84.0,27.468554385136184,[0.01339286 0.04613095 0.0014881  0.67857143 0.26041667],-0.07276676,0.0607183
12,77.69501337135401,88.875,27.41158983534367,[0.00281294 0.04219409 0.         0.72855134 0.22644163],-0.085508116,0.044538155
13,68.79478352170761,81.25,27.002007137037268,[0.00153846 0.         0.         0.59076923 0.40769231],-0.081160694,0.037786588
14,90.88748493740394,109.875,25.671622502515604,[0.02161547 0.         0.         0.54152446 0.43686007],-0.06949803,0.07901497
15,75.23145408635483,88.0,27.191022616199575,[0.00710227 0.         0.         0.66619318 0.32670455],-0.065710366,0.087801956
16,67.5953763165945,83.0,26.23582861926708,[0.01204819 0.         0.         0.50150602 0.48644578],-0.05964581,0.06391418
17,48.774662282906625,61.25,25.931358916854393,[0.00408163 0.         0.         0.42244898 0.57346939],-0.049536213,0.06768438
18,78.5218435650706,95.25,26.056239522215044,[0.00524934 0.         0.         0.53674541 0.45800525],-0.06384565,0.104793936
19,79.85225920234444,89.625,28.657089626182156,[0.0195258  0.         0.         0.83263598 0.14783821],-0.055080317,0.07585861
20,76.68896863913729,89.5,27.719797662513,[0.0349162  0.         0.         0.68854749 0.27653631],-0.06616613,0.06746584
21,76.72454132856274,98.375,24.269663367729592,[0.02033037 0.         0.         0.26937738 0.71029225],-0.06856315,0.08687663
22,79.68737171649455,103.0,23.70119565441376,[0.02548544 0.         0.         0.26334951 0.71116505],-0.084210895,0.056772027
23,84.23438134655903,107.75,24.517039358821666,[0.07772622 0.         0.         0.36542923 0.55684455],-0.07790209,0.07522619
