,returns,lengths,speeds,action_probs,actor_loss,critic_loss
0,43.27604166666663,53.625,18.712435833512956,[0.01864802 0.14918415 0.51981352 0.         0.31235431],-0.09196791,0.10719588
1,47.82812500000004,57.75,19.011853442177518,[0.         0.65151515 0.03679654 0.         0.31168831],-0.081654295,0.109095395
2,42.843749999999964,53.625,19.048156977936415,[0.01398601 0.12354312 0.4988345  0.02564103 0.33799534],-0.0737001,0.120760374
3,36.166666666666686,42.125,20.17385713410541,[0.0504451  0.00296736 0.41246291 0.15727003 0.3768546 ],-0.0834809,0.106731385
4,36.35416666666666,45.5,18.263504590056552,[0.01648352 0.01098901 0.58791209 0.         0.38461538],-0.088127896,0.07424174
5,45.97916666666663,57.5,18.848139426001183,[0.02391304 0.09347826 0.7        0.         0.1826087 ],-0.074851096,0.13076445
6,34.421875000000014,41.5,19.196457448540528,[0.12349398 0.26807229 0.39759036 0.04819277 0.1626506 ],-0.075366825,0.06570276
7,38.61458333333331,48.875,18.577389902500123,[0.18414322 0.15601023 0.50639386 0.         0.15345269],-0.0759999,0.086051784
8,33.40624999999998,42.0,18.19652866716099,[0.00595238 0.17857143 0.66666667 0.         0.14880952],-0.078795925,0.09409395
9,31.29687500000002,38.875,18.16925030346229,[0.01607717 0.54340836 0.27652733 0.         0.16398714],-0.07754203,0.12683585
10,44.00000000000004,53.875,18.769301905490394,[0.         0.57308585 0.3062645  0.         0.12064965],-0.08145021,0.07903541
11,39.01041666666665,48.125,19.1616220151803,[0.00519481 0.14285714 0.67012987 0.01038961 0.17142857],-0.059049197,0.035426572
12,38.56770833333334,45.75,19.886033495131414,[0.00546448 0.48360656 0.28688525 0.03005464 0.19398907],-0.03242261,0.13207623
13,43.546875000000014,50.625,20.245526834832553,[0.00246914 0.27160494 0.23209877 0.29135802 0.20246914],-0.049780175,0.064948626
14,48.09375000000001,55.5,21.710559281458764,[0.         0.13288288 0.25675676 0.37387387 0.23648649],-0.05644021,0.08523546
15,46.11458333333334,53.125,21.163568270568064,[0.         0.17176471 0.27764706 0.35294118 0.19764706],-0.04970716,0.05182627
16,41.260416666666664,48.625,20.109826006026694,[0.         0.38046272 0.29305913 0.06683805 0.2596401 ],-0.037711326,0.014009774
17,38.17187500000001,44.125,20.104297256435466,[0.         0.13314448 0.24645892 0.35977337 0.26062323],-0.018486975,0.13269433
18,50.104166666666686,58.25,21.437999300704096,[0.         0.38626609 0.30901288 0.10085837 0.20386266],-0.016155845,0.076993495
19,47.63020833333333,57.125,20.44640754969419,[0.         0.297593   0.44420131 0.05032823 0.20787746],-0.028865406,0.13900396
20,34.97395833333334,41.0,19.493430178045934,[0.         0.42073171 0.22256098 0.09756098 0.25914634],-0.042284682,0.16591111
21,44.375,52.25,20.316344306707418,[0.         0.49043062 0.24401914 0.0645933  0.20095694],-0.03758923,0.08230163
22,52.49479166666667,61.375,21.3020079683757,[0.         0.45417515 0.25458248 0.06517312 0.22606925],-0.039045535,0.101240136
23,36.953125,43.25,19.5125253771828,[0.         0.38439306 0.29768786 0.08092486 0.23699422],-0.04704748,0.0856538
24,44.171875,50.875,20.71385340703859,[0.         0.38820639 0.21867322 0.11056511 0.28255528],-0.040594157,0.07813275
25,43.119791666666664,50.625,20.02357366771203,[0.         0.4617284  0.2        0.05925926 0.27901235],-0.030603893,0.08974099
26,55.33854166666667,64.0,21.60599230607737,[0.         0.49023438 0.19726562 0.06445312 0.24804688],-0.043293443,0.14973679
27,43.359375000000036,52.5,19.314535658870952,[0.         0.43333333 0.2452381  0.01904762 0.30238095],-0.03936881,0.14017767
28,37.182291666666664,44.25,19.20290878069631,[0.         0.42090395 0.21751412 0.04519774 0.31638418],-0.048641607,0.12910697
29,43.92187499999999,50.875,20.55652751235875,[0.002457   0.43243243 0.18427518 0.07616708 0.3046683 ],-0.040913183,0.08495707
30,45.08854166666666,53.25,20.3228745471677,[0.         0.38732394 0.28403756 0.06338028 0.26525822],-0.044564802,0.08233744
31,46.30729166666667,54.0,20.70297656487583,[0.         0.4375     0.20138889 0.06712963 0.29398148],-0.019823954,0.016723393
32,39.19270833333333,45.875,20.04665377940749,[0.         0.42506812 0.1880109  0.04904632 0.33787466],-0.014066202,0.11509247
33,38.53645833333333,45.0,19.94452470684323,[0.01388889 0.39166667 0.22777778 0.06388889 0.30277778],-0.022451822,0.1284221
34,44.86979166666666,52.375,20.72189447619747,[0.         0.35560859 0.27923628 0.08353222 0.28162291],-0.037483975,0.04377018
35,46.921875,54.75,20.705170170678322,[0.17579909 0.29680365 0.16894977 0.06621005 0.29223744],-0.026685588,0.11566687
36,40.05729166666667,47.375,19.986206367964755,[0.20316623 0.28496042 0.11609499 0.07124011 0.32453826],-0.03040088,0.04606421
37,42.91666666666667,50.0,20.523946119970635,[0.0775 0.33   0.2425 0.06   0.29  ],-0.022628613,0.13420191
38,47.718750000000014,55.625,20.694804891823644,[0.06741573 0.33707865 0.18876404 0.06516854 0.34157303],-0.03128557,0.0946103
39,52.91666666666667,60.375,22.23389912668847,[0.06832298 0.38095238 0.16356108 0.10559006 0.2815735 ],-0.028014066,0.029495252
40,45.44270833333332,54.0,20.047166970818445,[0.21296296 0.29166667 0.23842593 0.03935185 0.21759259],-0.019985717,0.13497487
41,50.21875,57.375,21.327487926674166,[0.06535948 0.39651416 0.20043573 0.07625272 0.26143791],-0.020870827,0.11637114
42,50.005208333333336,57.625,21.488154574963062,[0.05206074 0.43600868 0.21475054 0.06941432 0.22776573],-0.025999676,0.084854625
43,52.94791666666666,61.125,21.913171113362715,[0.11656442 0.42331288 0.11656442 0.08179959 0.26175869],-0.023611639,0.063738674
44,44.58333333333334,51.125,20.938488266134367,[0.00733496 0.38141809 0.26650367 0.08312958 0.26161369],-0.019645505,0.13550901
45,39.42187499999998,48.75,18.670753923736562,[0.16153846 0.2        0.36410256 0.01025641 0.26410256],-0.030980827,0.0986196
46,41.18229166666664,51.125,18.57475898343836,[0.14425428 0.17359413 0.37652812 0.         0.30562347],-0.03298998,0.048128255
47,48.7083333333333,60.375,19.159212514843176,[0.04554865 0.14492754 0.55072464 0.         0.25879917],-0.024064768,0.092547424
48,29.020833333333314,36.25,17.795884429845735,[0.00689655 0.14827586 0.43448276 0.         0.41034483],-0.028954584,0.10018878
49,44.20312499999997,54.875,18.811437841072504,[0.06605923 0.12984055 0.51025057 0.         0.29384966],-0.028545255,0.07120023
50,37.77083333333331,47.0,18.288039780912754,[0.05851064 0.13297872 0.49468085 0.         0.31382979],-0.027299177,0.059694998
51,33.80208333333333,41.25,18.855248575223484,[0.08181818 0.26969697 0.25151515 0.02121212 0.37575758],-0.0239322,0.06499651
52,52.65104166666667,60.375,21.961100609526838,[0.         0.31677019 0.27122153 0.0931677  0.31884058],-0.03296514,0.04888414
53,50.90625000000001,57.875,22.17591096831546,[0.00431965 0.40388769 0.15550756 0.11015119 0.32613391],-0.026444446,0.0602822
54,44.72916666666667,52.5,20.501701816495796,[0.02619048 0.29047619 0.3547619  0.07380952 0.2547619 ],-0.02607288,0.11643472
55,44.51041666666667,53.5,19.96046055185949,[0.07476636 0.20560748 0.40654206 0.03504673 0.27803738],-0.026967986,0.052579693
56,44.901041666666686,53.625,20.223360943890476,[0.12354312 0.1002331  0.45687646 0.04895105 0.27039627],-0.035865653,0.039215595
57,41.10416666666668,48.875,19.989610847129946,[0.04603581 0.23529412 0.342711   0.06649616 0.30946292],-0.021545816,0.14012238
58,54.59375000000002,62.375,22.28046817499085,[0.00200401 0.33867735 0.27855711 0.11022044 0.27054108],-0.025156569,0.13543284
59,42.88020833333336,51.25,20.10727520838026,[0.0195122  0.39512195 0.18292683 0.05853659 0.34390244],-0.02562195,0.11996943
60,45.59375000000002,52.625,21.245362655967895,[0.01187648 0.28978622 0.29691211 0.11401425 0.28741093],-0.04111424,0.05657602
61,36.98958333333336,44.0,19.598559924813866,[0.00568182 0.24147727 0.35227273 0.07102273 0.32954545],-0.03263624,0.060797337
62,45.46354166666669,53.875,20.329630256873216,[0.         0.19721578 0.49419954 0.06264501 0.24593968],-0.026372278,0.13800177
63,49.093750000000036,57.625,20.99112286377434,[0.         0.23644252 0.39045553 0.09327549 0.27982646],-0.029401258,0.11748134
64,39.64583333333335,47.25,19.67279511386336,[0.         0.11640212 0.52380952 0.05555556 0.3042328 ],-0.033411913,0.10801337
